Specificity	GO_CC	Population	SpecificInts	CC	Overlap	Pvalue	OverlapGenes
MUT	histone acetyltransferase complex	232	43	0	0	1	
WT	protein N-acetylglucosaminyltransferase complex	232	5	0	0	1	
MUT	protein N-acetylglucosaminyltransferase complex	232	43	0	0	1	
WT	new growing cell tip	232	5	0	0	1	
MUT	new growing cell tip	232	43	0	0	1	
WT	replication fork	232	5	0	0	1	
MUT	replication fork	232	43	0	0	1	
WT	Rad51B-Rad51C-Rad51D-XRCC2 complex	232	5	0	0	1	
MUT	Rad51B-Rad51C-Rad51D-XRCC2 complex	232	43	0	0	1	
WT	proton-transporting V-type ATPase, V0 domain	232	5	0	0	1	
MUT	proton-transporting V-type ATPase, V0 domain	232	43	0	0	1	
WT	protein-DNA complex	232	5	3	0	1	
MUT	protein-DNA complex	232	43	3	0	1	
WT	eukaryotic translation initiation factor 3 complex, eIF3m	232	5	0	0	1	
MUT	eukaryotic translation initiation factor 3 complex, eIF3m	232	43	0	0	1	
WT	transcriptional repressor complex	232	5	1	0	1	
MUT	transcriptional repressor complex	232	43	1	0	1	
WT	nuclear exosome (RNase complex)	232	5	0	0	1	
MUT	nuclear exosome (RNase complex)	232	43	0	0	1	
WT	ficolin-1-rich granule membrane	232	5	0	0	1	
MUT	ficolin-1-rich granule membrane	232	43	0	0	1	
WT	nuclear chromosome	232	5	1	0	1	
MUT	nuclear chromosome	232	43	1	0	1	
WT	chromosome passenger complex	232	5	0	0	1	
MUT	chromosome passenger complex	232	43	0	0	1	
WT	NMDA selective glutamate receptor complex	232	5	0	0	1	
MUT	NMDA selective glutamate receptor complex	232	43	0	0	1	
WT	external side of apical plasma membrane	232	5	0	0	1	
MUT	external side of apical plasma membrane	232	43	0	0	1	
WT	RNA polymerase I transcription factor complex	232	5	0	0	1	
MUT	RNA polymerase I transcription factor complex	232	43	0	0	1	
WT	endolysosome membrane	232	5	0	0	1	
MUT	endolysosome membrane	232	43	0	0	1	
WT	recombination nodule	232	5	0	0	1	
MUT	recombination nodule	232	43	0	0	1	
WT	apical dendrite	232	5	1	0	1	
MUT	apical dendrite	232	43	1	0	1	
WT	basal dendrite	232	5	2	0	1	
MUT	basal dendrite	232	43	2	0	1	
WT	SREBP-SCAP-Insig complex	232	5	0	0	1	
MUT	SREBP-SCAP-Insig complex	232	43	0	0	1	
WT	RNA polymerase II, core complex	232	5	0	0	1	
MUT	RNA polymerase II, core complex	232	43	0	0	1	
WT	death-inducing signaling complex	232	5	0	0	1	
MUT	death-inducing signaling complex	232	43	0	0	1	
WT	CD95 death-inducing signaling complex	232	5	0	0	1	
MUT	CD95 death-inducing signaling complex	232	43	0	0	1	
WT	ripoptosome	232	5	0	0	1	
MUT	ripoptosome	232	43	0	0	1	
WT	MHC class I peptide loading complex	232	5	0	0	1	
MUT	MHC class I peptide loading complex	232	43	0	0	1	
WT	integral component of lumenal side of endoplasmic reticulum membrane	232	5	0	0	1	
MUT	integral component of lumenal side of endoplasmic reticulum membrane	232	43	0	0	1	
WT	extrinsic component of plasma membrane	232	5	0	0	1	
MUT	extrinsic component of plasma membrane	232	43	0	0	1	
WT	neuron to neuron synapse	232	5	0	0	1	
MUT	neuron to neuron synapse	232	43	0	0	1	
WT	U2-type precatalytic spliceosome	232	5	3	0	1	
MUT	U2-type precatalytic spliceosome	232	43	3	0	1	
WT	U12-type spliceosomal complex	232	5	0	0	1	
MUT	U12-type spliceosomal complex	232	43	0	0	1	
WT	U2-type post-mRNA release spliceosomal complex	232	5	0	0	1	
MUT	U2-type post-mRNA release spliceosomal complex	232	43	0	0	1	
WT	mRNA cap methyltransferase complex	232	5	0	0	1	
MUT	mRNA cap methyltransferase complex	232	43	0	0	1	
WT	female pronucleus	232	5	0	0	1	
MUT	female pronucleus	232	43	0	0	1	
WT	male pronucleus	232	5	0	0	1	
MUT	male pronucleus	232	43	0	0	1	
WT	TORC1 complex	232	5	0	0	1	
MUT	TORC1 complex	232	43	0	0	1	
WT	TORC2 complex	232	5	0	0	1	
MUT	TORC2 complex	232	43	0	0	1	
WT	chromatin silencing complex	232	5	0	0	1	
MUT	chromatin silencing complex	232	43	0	0	1	
WT	rDNA heterochromatin	232	5	0	0	1	
MUT	rDNA heterochromatin	232	43	0	0	1	
WT	U4/U6 x U5 tri-snRNP complex	232	5	1	0	1	
MUT	U4/U6 x U5 tri-snRNP complex	232	43	1	0	1	
WT	U4/U6 snRNP	232	5	0	0	1	
MUT	U4/U6 snRNP	232	43	0	0	1	
WT	spliceosomal snRNP complex	232	5	0	0	1	
MUT	spliceosomal snRNP complex	232	43	0	0	1	
WT	septin complex	232	5	0	0	1	
MUT	septin complex	232	43	0	0	1	
WT	sperm annulus	232	5	0	0	1	
MUT	sperm annulus	232	43	0	0	1	
WT	kinetochore microtubule	232	5	0	0	1	
MUT	kinetochore microtubule	232	43	0	0	1	
WT	RZZ complex	232	5	0	0	1	
MUT	RZZ complex	232	43	0	0	1	
WT	anchored component of plasma membrane	232	5	0	0	1	
MUT	anchored component of plasma membrane	232	43	0	0	1	
WT	catalytic step 2 spliceosome	232	5	9	0	1	
MUT	catalytic step 2 spliceosome	232	43	9	1	0.847594077068428	WDR83
WT	GPI-anchor transamidase complex	232	5	0	0	1	
MUT	GPI-anchor transamidase complex	232	43	0	0	1	
WT	AP-type membrane coat adaptor complex	232	5	0	0	1	
MUT	AP-type membrane coat adaptor complex	232	43	0	0	1	
WT	AP-5 adaptor complex	232	5	0	0	1	
MUT	AP-5 adaptor complex	232	43	0	0	1	
WT	excitatory synapse	232	5	0	0	1	
MUT	excitatory synapse	232	43	0	0	1	
WT	Ada2/Gcn5/Ada3 transcription activator complex	232	5	0	0	1	
MUT	Ada2/Gcn5/Ada3 transcription activator complex	232	43	0	0	1	
WT	aminoacyl-tRNA synthetase multienzyme complex	232	5	0	0	1	
MUT	aminoacyl-tRNA synthetase multienzyme complex	232	43	0	0	1	
WT	ER membrane protein complex	232	5	0	0	1	
MUT	ER membrane protein complex	232	43	0	0	1	
WT	membrane coat	232	5	0	0	1	
MUT	membrane coat	232	43	0	0	1	
WT	clathrin coat of coated pit	232	5	0	0	1	
MUT	clathrin coat of coated pit	232	43	0	0	1	
WT	heterochromatin	232	5	0	0	1	
MUT	heterochromatin	232	43	0	0	1	
WT	serine-type endopeptidase complex	232	5	0	0	1	
MUT	serine-type endopeptidase complex	232	43	0	0	1	
WT	nuclear transcription factor complex	232	5	0	0	1	
MUT	nuclear transcription factor complex	232	43	0	0	1	
WT	chromocenter	232	5	0	0	1	
MUT	chromocenter	232	43	0	0	1	
WT	photoreceptor outer segment membrane	232	5	0	0	1	
MUT	photoreceptor outer segment membrane	232	43	0	0	1	
WT	Rad51C-XRCC3 complex	232	5	0	0	1	
MUT	Rad51C-XRCC3 complex	232	43	0	0	1	
WT	Holliday junction resolvase complex	232	5	0	0	1	
MUT	Holliday junction resolvase complex	232	43	0	0	1	
WT	Ragulator complex	232	5	0	0	1	
MUT	Ragulator complex	232	43	0	0	1	
WT	Bcl-2 family protein complex	232	5	0	0	1	
MUT	Bcl-2 family protein complex	232	43	0	0	1	
WT	dystrophin-associated glycoprotein complex	232	5	0	0	1	
MUT	dystrophin-associated glycoprotein complex	232	43	0	0	1	
WT	dendrite membrane	232	5	0	0	1	
MUT	dendrite membrane	232	43	0	0	1	
WT	dense core granule	232	5	0	0	1	
MUT	dense core granule	232	43	0	0	1	
WT	microtubule end	232	5	0	0	1	
MUT	microtubule end	232	43	0	0	1	
WT	9+0 non-motile cilium	232	5	0	0	1	
MUT	9+0 non-motile cilium	232	43	0	0	1	
WT	rough endoplasmic reticulum	232	5	1	0	1	
MUT	rough endoplasmic reticulum	232	43	1	0	1	
WT	TRAPP complex	232	5	0	0	1	
MUT	TRAPP complex	232	43	0	0	1	
WT	ESCRT III complex	232	5	0	0	1	
MUT	ESCRT III complex	232	43	0	0	1	
WT	U2-type catalytic step 2 spliceosome	232	5	2	0	1	
MUT	U2-type catalytic step 2 spliceosome	232	43	2	0	1	
WT	DNA replication factor A complex	232	5	0	0	1	
MUT	DNA replication factor A complex	232	43	0	0	1	
WT	contractile ring	232	5	0	0	1	
MUT	contractile ring	232	43	0	0	1	
WT	spindle matrix	232	5	0	0	1	
MUT	spindle matrix	232	43	0	0	1	
WT	cortical cytoskeleton	232	5	7	0	1	
MUT	cortical cytoskeleton	232	43	7	0	1	
WT	pseudopodium	232	5	1	0	1	
MUT	pseudopodium	232	43	1	0	1	
WT	glutamyl-tRNA(Gln) amidotransferase complex	232	5	0	0	1	
MUT	glutamyl-tRNA(Gln) amidotransferase complex	232	43	0	0	1	
WT	COPI-coated vesicle membrane	232	5	0	0	1	
MUT	COPI-coated vesicle membrane	232	43	0	0	1	
WT	nucleotide-activated protein kinase complex	232	5	0	0	1	
MUT	nucleotide-activated protein kinase complex	232	43	0	0	1	
WT	AP-1 adaptor complex	232	5	0	0	1	
MUT	AP-1 adaptor complex	232	43	0	0	1	
WT	extrinsic component of synaptic vesicle membrane	232	5	0	0	1	
MUT	extrinsic component of synaptic vesicle membrane	232	43	0	0	1	
WT	pericentriolar material	232	5	0	0	1	
MUT	pericentriolar material	232	43	0	0	1	
WT	mRNA cleavage and polyadenylation specificity factor complex	232	5	0	0	1	
MUT	mRNA cleavage and polyadenylation specificity factor complex	232	43	0	0	1	
WT	mRNA cleavage factor complex	232	5	0	0	1	
MUT	mRNA cleavage factor complex	232	43	0	0	1	
WT	paraspeckles	232	5	1	0	1	
MUT	paraspeckles	232	43	1	0	1	
WT	FAR/SIN/STRIPAK complex	232	5	0	0	1	
MUT	FAR/SIN/STRIPAK complex	232	43	0	0	1	
WT	myofibril	232	5	3	0	1	
MUT	myofibril	232	43	3	1	0.460944527736132	TMOD2
WT	acrosomal membrane	232	5	0	0	1	
MUT	acrosomal membrane	232	43	0	0	1	
WT	origin recognition complex	232	5	0	0	1	
MUT	origin recognition complex	232	43	0	0	1	
WT	nuclear origin of replication recognition complex	232	5	0	0	1	
MUT	nuclear origin of replication recognition complex	232	43	0	0	1	
WT	cohesin complex	232	5	0	0	1	
MUT	cohesin complex	232	43	0	0	1	
WT	mediator complex	232	5	2	0	1	
MUT	mediator complex	232	43	2	1	0.336990595611285	MED30
WT	platelet alpha granule membrane	232	5	0	0	1	
MUT	platelet alpha granule membrane	232	43	0	0	1	
WT	serine protease inhibitor complex	232	5	0	0	1	
MUT	serine protease inhibitor complex	232	43	0	0	1	
WT	Lewy body	232	5	0	0	1	
MUT	Lewy body	232	43	0	0	1	
WT	Parkin-FBXW7-Cul1 ubiquitin ligase complex	232	5	0	0	1	
MUT	Parkin-FBXW7-Cul1 ubiquitin ligase complex	232	43	0	0	1	
WT	SCF ubiquitin ligase complex	232	5	0	0	1	
MUT	SCF ubiquitin ligase complex	232	43	0	0	1	
WT	NURF complex	232	5	0	0	1	
MUT	NURF complex	232	43	0	0	1	
WT	RSF complex	232	5	0	0	1	
MUT	RSF complex	232	43	0	0	1	
WT	nuclear replication fork	232	5	0	0	1	
MUT	nuclear replication fork	232	43	0	0	1	
WT	dendrite cytoplasm	232	5	2	0	1	
MUT	dendrite cytoplasm	232	43	2	1	0.336990595611285	KIF5C
WT	ciliary rootlet	232	5	1	0	1	
MUT	ciliary rootlet	232	43	1	1	0.185344827586207	KIF5C
WT	distal axon	232	5	1	0	1	
MUT	distal axon	232	43	1	1	0.185344827586207	KIF5C
WT	tricellular tight junction	232	5	1	0	1	
MUT	tricellular tight junction	232	43	1	0	1	
WT	exosome (RNase complex)	232	5	0	0	1	
MUT	exosome (RNase complex)	232	43	0	0	1	
WT	mitochondrial crista	232	5	0	0	1	
MUT	mitochondrial crista	232	43	0	0	1	
WT	extrinsic component of mitochondrial inner membrane	232	5	0	0	1	
MUT	extrinsic component of mitochondrial inner membrane	232	43	0	0	1	
WT	ER ubiquitin ligase complex	232	5	0	0	1	
MUT	ER ubiquitin ligase complex	232	43	0	0	1	
WT	DNA repair complex	232	5	0	0	1	
MUT	DNA repair complex	232	43	0	0	1	
WT	somatodendritic compartment	232	5	1	0	1	
MUT	somatodendritic compartment	232	43	1	0	1	
WT	desmosome	232	5	0	0	1	
MUT	desmosome	232	43	0	0	1	
WT	mitochondria-associated endoplasmic reticulum membrane	232	5	0	0	1	
MUT	mitochondria-associated endoplasmic reticulum membrane	232	43	0	0	1	
WT	retromer complex	232	5	0	0	1	
MUT	retromer complex	232	43	0	0	1	
WT	CRD-mediated mRNA stability complex	232	5	0	0	1	
MUT	CRD-mediated mRNA stability complex	232	43	0	0	1	
WT	histone pre-mRNA 3'end processing complex	232	5	0	0	1	
MUT	histone pre-mRNA 3'end processing complex	232	43	0	0	1	
WT	GAIT complex	232	5	1	0	1	
MUT	GAIT complex	232	43	1	0	1	
WT	eukaryotic translation initiation factor 4F complex	232	5	0	0	1	
MUT	eukaryotic translation initiation factor 4F complex	232	43	0	0	1	
WT	cyclin/CDK positive transcription elongation factor complex	232	5	0	0	1	
MUT	cyclin/CDK positive transcription elongation factor complex	232	43	0	0	1	
WT	condensed chromosome outer kinetochore	232	5	0	0	1	
MUT	condensed chromosome outer kinetochore	232	43	0	0	1	
WT	Toll-like receptor 1-Toll-like receptor 2 protein complex	232	5	0	0	1	
MUT	Toll-like receptor 1-Toll-like receptor 2 protein complex	232	43	0	0	1	
WT	myelin sheath	232	5	3	0	1	
MUT	myelin sheath	232	43	3	2	0.0890827313615919	TUBA1A,CALM3
WT	M band	232	5	2	0	1	
MUT	M band	232	43	2	0	1	
WT	zeta DNA polymerase complex	232	5	0	0	1	
MUT	zeta DNA polymerase complex	232	43	0	0	1	
WT	inward rectifying potassium channel	232	5	0	0	1	
MUT	inward rectifying potassium channel	232	43	0	0	1	
WT	sarcomere	232	5	7	0	1	
MUT	sarcomere	232	43	7	1	0.766824767295512	CALM3
WT	potassium ion-transporting ATPase complex	232	5	0	0	1	
MUT	potassium ion-transporting ATPase complex	232	43	0	0	1	
WT	zonula adherens	232	5	3	0	1	
MUT	zonula adherens	232	43	3	1	0.460944527736132	SORBS1
WT	outer membrane	232	5	0	0	1	
MUT	outer membrane	232	43	0	0	1	
WT	spanning component of plasma membrane	232	5	1	0	1	
MUT	spanning component of plasma membrane	232	43	1	0	1	
WT	HCN channel complex	232	5	0	0	1	
MUT	HCN channel complex	232	43	0	0	1	
WT	retromer, tubulation complex	232	5	0	0	1	
MUT	retromer, tubulation complex	232	43	0	0	1	
WT	dolichol-phosphate-mannose synthase complex	232	5	0	0	1	
MUT	dolichol-phosphate-mannose synthase complex	232	43	0	0	1	
WT	neuronal ribonucleoprotein granule	232	5	0	0	1	
MUT	neuronal ribonucleoprotein granule	232	43	0	0	1	
WT	box H/ACA snoRNP complex	232	5	0	0	1	
MUT	box H/ACA snoRNP complex	232	43	0	0	1	
WT	box H/ACA scaRNP complex	232	5	0	0	1	
MUT	box H/ACA scaRNP complex	232	43	0	0	1	
WT	box H/ACA telomerase RNP complex	232	5	0	0	1	
MUT	box H/ACA telomerase RNP complex	232	43	0	0	1	
WT	cytoplasmic vesicle lumen	232	5	0	0	1	
MUT	cytoplasmic vesicle lumen	232	43	0	0	1	
WT	mucus layer	232	5	0	0	1	
MUT	mucus layer	232	43	0	0	1	
WT	amylin receptor complex 1	232	5	0	0	1	
MUT	amylin receptor complex 1	232	43	0	0	1	
WT	CGRP receptor complex	232	5	0	0	1	
MUT	CGRP receptor complex	232	43	0	0	1	
WT	amylin receptor complex 2	232	5	0	0	1	
MUT	amylin receptor complex 2	232	43	0	0	1	
WT	adrenomedullin receptor complex	232	5	0	0	1	
MUT	adrenomedullin receptor complex	232	43	0	0	1	
WT	amylin receptor complex 3	232	5	0	0	1	
MUT	amylin receptor complex 3	232	43	0	0	1	
WT	Mre11 complex	232	5	0	0	1	
MUT	Mre11 complex	232	43	0	0	1	
WT	nuclear inclusion body	232	5	0	0	1	
MUT	nuclear inclusion body	232	43	0	0	1	
WT	voltage-gated sodium channel complex	232	5	0	0	1	
MUT	voltage-gated sodium channel complex	232	43	0	0	1	
WT	dendritic spine head	232	5	1	0	1	
MUT	dendritic spine head	232	43	1	0	1	
WT	L-type voltage-gated calcium channel complex	232	5	0	0	1	
MUT	L-type voltage-gated calcium channel complex	232	43	0	0	1	
WT	microspike	232	5	1	0	1	
MUT	microspike	232	43	1	0	1	
WT	plasma membrane raft	232	5	2	0	1	
MUT	plasma membrane raft	232	43	2	2	0.0336990595611285	ADD2,ADD1
WT	basal cortex	232	5	0	0	1	
MUT	basal cortex	232	43	0	0	1	
WT	dendritic growth cone	232	5	1	0	1	
MUT	dendritic growth cone	232	43	1	0	1	
WT	cell pole	232	5	0	0	1	
MUT	cell pole	232	43	0	0	1	
WT	GATOR1 complex	232	5	0	0	1	
MUT	GATOR1 complex	232	43	0	0	1	
WT	phagophore assembly site	232	5	0	0	1	
MUT	phagophore assembly site	232	43	0	0	1	
WT	Atg1/ULK1 kinase complex	232	5	0	0	1	
MUT	Atg1/ULK1 kinase complex	232	43	0	0	1	
WT	epididymosome	232	5	0	0	1	
MUT	epididymosome	232	43	0	0	1	
WT	3M complex	232	5	0	0	1	
MUT	3M complex	232	43	0	0	1	
WT	HULC complex	232	5	0	0	1	
MUT	HULC complex	232	43	0	0	1	
WT	transcription export complex	232	5	0	0	1	
MUT	transcription export complex	232	43	0	0	1	
WT	photoreceptor distal connecting cilium	232	5	0	0	1	
MUT	photoreceptor distal connecting cilium	232	43	0	0	1	
WT	X chromosome	232	5	0	0	1	
MUT	X chromosome	232	43	0	0	1	
WT	Y chromosome	232	5	0	0	1	
MUT	Y chromosome	232	43	0	0	1	
WT	autosome	232	5	0	0	1	
MUT	autosome	232	43	0	0	1	
WT	Wnt-Frizzled-LRP5/6 complex	232	5	0	0	1	
MUT	Wnt-Frizzled-LRP5/6 complex	232	43	0	0	1	
WT	terminal cisterna	232	5	0	0	1	
MUT	terminal cisterna	232	43	0	0	1	
WT	glycine-gated chloride channel complex	232	5	0	0	1	
MUT	glycine-gated chloride channel complex	232	43	0	0	1	
WT	COPII vesicle coat	232	5	0	0	1	
MUT	COPII vesicle coat	232	43	0	0	1	
WT	synaptonemal complex	232	5	0	0	1	
MUT	synaptonemal complex	232	43	0	0	1	
WT	sex chromatin	232	5	0	0	1	
MUT	sex chromatin	232	43	0	0	1	
WT	pericentric heterochromatin	232	5	0	0	1	
MUT	pericentric heterochromatin	232	43	0	0	1	
WT	Sin3 complex	232	5	0	0	1	
MUT	Sin3 complex	232	43	0	0	1	
WT	phagophore assembly site membrane	232	5	0	0	1	
MUT	phagophore assembly site membrane	232	43	0	0	1	
WT	extrinsic component of omegasome membrane	232	5	0	0	1	
MUT	extrinsic component of omegasome membrane	232	43	0	0	1	
WT	extrinsic component of phagophore assembly site membrane	232	5	0	0	1	
MUT	extrinsic component of phagophore assembly site membrane	232	43	0	0	1	
WT	extrinsic component of autophagosome membrane	232	5	0	0	1	
MUT	extrinsic component of autophagosome membrane	232	43	0	0	1	
WT	guanyl-nucleotide exchange factor complex	232	5	0	0	1	
MUT	guanyl-nucleotide exchange factor complex	232	43	0	0	1	
WT	COPI-coated vesicle	232	5	0	0	1	
MUT	COPI-coated vesicle	232	43	0	0	1	
WT	SAM complex	232	5	1	0	1	
MUT	SAM complex	232	43	1	0	1	
WT	MIB complex	232	5	1	0	1	
MUT	MIB complex	232	43	1	0	1	
WT	retromer, cargo-selective complex	232	5	0	0	1	
MUT	retromer, cargo-selective complex	232	43	0	0	1	
WT	tubular endosome	232	5	0	0	1	
MUT	tubular endosome	232	43	0	0	1	
WT	stereocilia ankle link	232	5	1	0	1	
MUT	stereocilia ankle link	232	43	1	0	1	
WT	stereocilia ankle link complex	232	5	1	0	1	
MUT	stereocilia ankle link complex	232	43	1	0	1	
WT	stereocilium bundle	232	5	0	0	1	
MUT	stereocilium bundle	232	43	0	0	1	
WT	periciliary membrane compartment	232	5	1	0	1	
MUT	periciliary membrane compartment	232	43	1	0	1	
WT	USH2 complex	232	5	1	0	1	
MUT	USH2 complex	232	43	1	0	1	
WT	Ire1 complex	232	5	0	0	1	
MUT	Ire1 complex	232	43	0	0	1	
WT	AIP1-IRE1 complex	232	5	0	0	1	
MUT	AIP1-IRE1 complex	232	43	0	0	1	
WT	IRE1-TRAF2-ASK1 complex	232	5	0	0	1	
MUT	IRE1-TRAF2-ASK1 complex	232	43	0	0	1	
WT	IRE1-RACK1-PP2A complex	232	5	0	0	1	
MUT	IRE1-RACK1-PP2A complex	232	43	0	0	1	
WT	CRLF-CLCF1 complex	232	5	0	0	1	
MUT	CRLF-CLCF1 complex	232	43	0	0	1	
WT	transcriptionally active chromatin	232	5	0	0	1	
MUT	transcriptionally active chromatin	232	43	0	0	1	
WT	PCAF complex	232	5	0	0	1	
MUT	PCAF complex	232	43	0	0	1	
WT	STAGA complex	232	5	0	0	1	
MUT	STAGA complex	232	43	0	0	1	
WT	anchored component of presynaptic membrane	232	5	1	0	1	
MUT	anchored component of presynaptic membrane	232	43	1	0	1	
WT	basal part of cell	232	5	1	0	1	
MUT	basal part of cell	232	43	1	1	0.185344827586207	KRT14
WT	U2 snRNP	232	5	1	0	1	
MUT	U2 snRNP	232	43	1	0	1	
WT	U11/U12 snRNP	232	5	0	0	1	
MUT	U11/U12 snRNP	232	43	0	0	1	
WT	RISC-loading complex	232	5	0	0	1	
MUT	RISC-loading complex	232	43	0	0	1	
WT	DNA polymerase III complex	232	5	0	0	1	
MUT	DNA polymerase III complex	232	43	0	0	1	
WT	integrin complex	232	5	0	0	1	
MUT	integrin complex	232	43	0	0	1	
WT	integrin alpha10-beta1 complex	232	5	0	0	1	
MUT	integrin alpha10-beta1 complex	232	43	0	0	1	
WT	activin responsive factor complex	232	5	0	0	1	
MUT	activin responsive factor complex	232	43	0	0	1	
WT	phagocytic vesicle lumen	232	5	0	0	1	
MUT	phagocytic vesicle lumen	232	43	0	0	1	
WT	U5 snRNP	232	5	1	0	1	
MUT	U5 snRNP	232	43	1	0	1	
WT	granular component	232	5	0	0	1	
MUT	granular component	232	43	0	0	1	
WT	90S preribosome	232	5	0	0	1	
MUT	90S preribosome	232	43	0	0	1	
WT	small-subunit processome	232	5	1	0	1	
MUT	small-subunit processome	232	43	1	0	1	
WT	gap junction	232	5	3	0	1	
MUT	gap junction	232	43	3	1	0.460944527736132	TJP1
WT	intrinsic component of the cytoplasmic side of the plasma membrane	232	5	1	0	1	
MUT	intrinsic component of the cytoplasmic side of the plasma membrane	232	43	1	1	0.185344827586207	PALM
WT	vacuolar proton-transporting V-type ATPase complex	232	5	0	0	1	
MUT	vacuolar proton-transporting V-type ATPase complex	232	43	0	0	1	
WT	ribonuclease H2 complex	232	5	0	0	1	
MUT	ribonuclease H2 complex	232	43	0	0	1	
WT	protein phosphatase type 1 complex	232	5	3	0	1	
MUT	protein phosphatase type 1 complex	232	43	3	0	1	
WT	ribonuclease MRP complex	232	5	0	0	1	
MUT	ribonuclease MRP complex	232	43	0	0	1	
WT	multimeric ribonuclease P complex	232	5	0	0	1	
MUT	multimeric ribonuclease P complex	232	43	0	0	1	
WT	nucleolar ribonuclease P complex	232	5	0	0	1	
MUT	nucleolar ribonuclease P complex	232	43	0	0	1	
WT	muscle tendon junction	232	5	0	0	1	
MUT	muscle tendon junction	232	43	0	0	1	
WT	cuticular plate	232	5	1	0	1	
MUT	cuticular plate	232	43	1	0	1	
WT	host cell mitochondrial intermembrane space	232	5	0	0	1	
MUT	host cell mitochondrial intermembrane space	232	43	0	0	1	
WT	G protein-coupled receptor heterodimeric complex	232	5	0	0	1	
MUT	G protein-coupled receptor heterodimeric complex	232	43	0	0	1	
WT	GABA receptor complex	232	5	0	0	1	
MUT	GABA receptor complex	232	43	0	0	1	
WT	trans-Golgi network transport vesicle membrane	232	5	0	0	1	
MUT	trans-Golgi network transport vesicle membrane	232	43	0	0	1	
WT	cyclin K-CDK12 complex	232	5	0	0	1	
MUT	cyclin K-CDK12 complex	232	43	0	0	1	
WT	cyclin K-CDK13 complex	232	5	0	0	1	
MUT	cyclin K-CDK13 complex	232	43	0	0	1	
WT	extrinsic component of presynaptic active zone membrane	232	5	0	0	1	
MUT	extrinsic component of presynaptic active zone membrane	232	43	0	0	1	
WT	extrinsic component of postsynaptic density membrane	232	5	0	0	1	
MUT	extrinsic component of postsynaptic density membrane	232	43	0	0	1	
WT	membrane microdomain	232	5	0	0	1	
MUT	membrane microdomain	232	43	0	0	1	
WT	Rad17 RFC-like complex	232	5	0	0	1	
MUT	Rad17 RFC-like complex	232	43	0	0	1	
WT	mitochondrial proton-transporting ATP synthase complex	232	5	1	0	1	
MUT	mitochondrial proton-transporting ATP synthase complex	232	43	1	1	0.185344827586207	ATP5PO
WT	sperm plasma membrane	232	5	0	0	1	
MUT	sperm plasma membrane	232	43	0	0	1	
WT	sperm fibrous sheath	232	5	0	0	1	
MUT	sperm fibrous sheath	232	43	0	0	1	
WT	sperm end piece	232	5	0	0	1	
MUT	sperm end piece	232	43	0	0	1	
WT	flotillin complex	232	5	3	0	1	
MUT	flotillin complex	232	43	3	0	1	
WT	cell-cell contact zone	232	5	0	0	1	
MUT	cell-cell contact zone	232	43	0	0	1	
WT	dopaminergic synapse	232	5	0	0	1	
MUT	dopaminergic synapse	232	43	0	0	1	
WT	Schmidt-Lanterman incisure	232	5	0	0	1	
MUT	Schmidt-Lanterman incisure	232	43	0	0	1	
WT	climbing fiber	232	5	0	0	1	
MUT	climbing fiber	232	43	0	0	1	
WT	endopeptidase Clp complex	232	5	0	0	1	
MUT	endopeptidase Clp complex	232	43	0	0	1	
WT	mitochondrial endopeptidase Clp complex	232	5	0	0	1	
MUT	mitochondrial endopeptidase Clp complex	232	43	0	0	1	
WT	transport vesicle membrane	232	5	1	0	1	
MUT	transport vesicle membrane	232	43	1	1	0.185344827586207	MAP6
WT	MMXD complex	232	5	0	0	1	
MUT	MMXD complex	232	43	0	0	1	
WT	CIA complex	232	5	0	0	1	
MUT	CIA complex	232	43	0	0	1	
WT	signal recognition particle, endoplasmic reticulum targeting	232	5	2	0	1	
MUT	signal recognition particle, endoplasmic reticulum targeting	232	43	2	0	1	
WT	signal recognition particle	232	5	0	0	1	
MUT	signal recognition particle	232	43	0	0	1	
WT	multivesicular body	232	5	0	0	1	
MUT	multivesicular body	232	43	0	0	1	
WT	RNA polymerase II, holoenzyme	232	5	0	0	1	
MUT	RNA polymerase II, holoenzyme	232	43	0	0	1	
WT	interstitial matrix	232	5	0	0	1	
MUT	interstitial matrix	232	43	0	0	1	
WT	NuRD complex	232	5	0	0	1	
MUT	NuRD complex	232	43	0	0	1	
WT	glycosylphosphatidylinositol-N-acetylglucosaminyltransferase (GPI-GnT) complex	232	5	0	0	1	
MUT	glycosylphosphatidylinositol-N-acetylglucosaminyltransferase (GPI-GnT) complex	232	43	0	0	1	
WT	microtubule bundle	232	5	0	0	1	
MUT	microtubule bundle	232	43	0	0	1	
WT	mitochondrial outer membrane translocase complex	232	5	0	0	1	
MUT	mitochondrial outer membrane translocase complex	232	43	0	0	1	
WT	smooth endoplasmic reticulum	232	5	3	0	1	
MUT	smooth endoplasmic reticulum	232	43	3	1	0.460944527736132	HSPA5
WT	axolemma	232	5	2	0	1	
MUT	axolemma	232	43	2	0	1	
WT	paranodal junction	232	5	0	0	1	
MUT	paranodal junction	232	43	0	0	1	
WT	paranode region of axon	232	5	1	0	1	
MUT	paranode region of axon	232	43	1	0	1	
WT	Schwann cell microvillus	232	5	0	0	1	
MUT	Schwann cell microvillus	232	43	0	0	1	
WT	endoplasmic reticulum-endosome membrane contact site	232	5	0	0	1	
MUT	endoplasmic reticulum-endosome membrane contact site	232	43	0	0	1	
WT	VCP-NPL4-UFD1 AAA ATPase complex	232	5	0	0	1	
