Specificity	GO_CC	Population	SpecificInts	CC	Overlap	Pvalue	OverlapGenes
WT	nuclear exosome (RNase complex)	232	5	0	0	1	
KO	nuclear exosome (RNase complex)	232	43	0	0	1	
WT	ficolin-1-rich granule membrane	232	5	0	0	1	
KO	ficolin-1-rich granule membrane	232	43	0	0	1	
WT	nuclear chromosome	232	5	1	0	1	
KO	nuclear chromosome	232	43	1	0	1	
WT	chromosome passenger complex	232	5	0	0	1	
KO	chromosome passenger complex	232	43	0	0	1	
WT	NMDA selective glutamate receptor complex	232	5	0	0	1	
KO	NMDA selective glutamate receptor complex	232	43	0	0	1	
WT	external side of apical plasma membrane	232	5	0	0	1	
KO	external side of apical plasma membrane	232	43	0	0	1	
WT	RNA polymerase I transcription factor complex	232	5	0	0	1	
KO	RNA polymerase I transcription factor complex	232	43	0	0	1	
WT	endolysosome membrane	232	5	0	0	1	
KO	endolysosome membrane	232	43	0	0	1	
WT	recombination nodule	232	5	0	0	1	
KO	recombination nodule	232	43	0	0	1	
WT	apical dendrite	232	5	1	0	1	
KO	apical dendrite	232	43	1	0	1	
WT	basal dendrite	232	5	2	0	1	
KO	basal dendrite	232	43	2	0	1	
WT	SREBP-SCAP-Insig complex	232	5	0	0	1	
KO	SREBP-SCAP-Insig complex	232	43	0	0	1	
WT	RNA polymerase II, core complex	232	5	0	0	1	
KO	RNA polymerase II, core complex	232	43	0	0	1	
WT	death-inducing signaling complex	232	5	0	0	1	
KO	death-inducing signaling complex	232	43	0	0	1	
WT	CD95 death-inducing signaling complex	232	5	0	0	1	
KO	CD95 death-inducing signaling complex	232	43	0	0	1	
WT	ripoptosome	232	5	0	0	1	
KO	ripoptosome	232	43	0	0	1	
WT	MHC class I peptide loading complex	232	5	0	0	1	
KO	MHC class I peptide loading complex	232	43	0	0	1	
WT	integral component of lumenal side of endoplasmic reticulum membrane	232	5	0	0	1	
KO	integral component of lumenal side of endoplasmic reticulum membrane	232	43	0	0	1	
WT	extrinsic component of plasma membrane	232	5	0	0	1	
KO	extrinsic component of plasma membrane	232	43	0	0	1	
WT	neuron to neuron synapse	232	5	0	0	1	
KO	neuron to neuron synapse	232	43	0	0	1	
WT	U2-type precatalytic spliceosome	232	5	3	0	1	
KO	U2-type precatalytic spliceosome	232	43	3	0	1	
WT	U12-type spliceosomal complex	232	5	0	0	1	
KO	U12-type spliceosomal complex	232	43	0	0	1	
WT	U2-type post-mRNA release spliceosomal complex	232	5	0	0	1	
KO	U2-type post-mRNA release spliceosomal complex	232	43	0	0	1	
WT	mRNA cap methyltransferase complex	232	5	0	0	1	
KO	mRNA cap methyltransferase complex	232	43	0	0	1	
WT	female pronucleus	232	5	0	0	1	
KO	female pronucleus	232	43	0	0	1	
WT	male pronucleus	232	5	0	0	1	
KO	male pronucleus	232	43	0	0	1	
WT	TORC1 complex	232	5	0	0	1	
KO	TORC1 complex	232	43	0	0	1	
WT	TORC2 complex	232	5	0	0	1	
KO	TORC2 complex	232	43	0	0	1	
WT	chromatin silencing complex	232	5	0	0	1	
KO	chromatin silencing complex	232	43	0	0	1	
WT	rDNA heterochromatin	232	5	0	0	1	
KO	rDNA heterochromatin	232	43	0	0	1	
WT	U4/U6 x U5 tri-snRNP complex	232	5	1	0	1	
KO	U4/U6 x U5 tri-snRNP complex	232	43	1	0	1	
WT	U4/U6 snRNP	232	5	0	0	1	
KO	U4/U6 snRNP	232	43	0	0	1	
WT	spliceosomal snRNP complex	232	5	0	0	1	
KO	spliceosomal snRNP complex	232	43	0	0	1	
WT	septin complex	232	5	0	0	1	
KO	septin complex	232	43	0	0	1	
WT	sperm annulus	232	5	0	0	1	
KO	sperm annulus	232	43	0	0	1	
WT	kinetochore microtubule	232	5	0	0	1	
KO	kinetochore microtubule	232	43	0	0	1	
WT	RZZ complex	232	5	0	0	1	
KO	RZZ complex	232	43	0	0	1	
WT	anchored component of plasma membrane	232	5	0	0	1	
KO	anchored component of plasma membrane	232	43	0	0	1	
WT	catalytic step 2 spliceosome	232	5	9	0	1	
KO	catalytic step 2 spliceosome	232	43	9	1	0.847594077068428	WDR83
WT	GPI-anchor transamidase complex	232	5	0	0	1	
KO	GPI-anchor transamidase complex	232	43	0	0	1	
WT	AP-type membrane coat adaptor complex	232	5	0	0	1	
KO	AP-type membrane coat adaptor complex	232	43	0	0	1	
WT	AP-5 adaptor complex	232	5	0	0	1	
KO	AP-5 adaptor complex	232	43	0	0	1	
WT	excitatory synapse	232	5	0	0	1	
KO	excitatory synapse	232	43	0	0	1	
WT	Ada2/Gcn5/Ada3 transcription activator complex	232	5	0	0	1	
KO	Ada2/Gcn5/Ada3 transcription activator complex	232	43	0	0	1	
WT	aminoacyl-tRNA synthetase multienzyme complex	232	5	0	0	1	
KO	aminoacyl-tRNA synthetase multienzyme complex	232	43	0	0	1	
WT	ER membrane protein complex	232	5	0	0	1	
KO	ER membrane protein complex	232	43	0	0	1	
WT	membrane coat	232	5	0	0	1	
KO	membrane coat	232	43	0	0	1	
WT	clathrin coat of coated pit	232	5	0	0	1	
KO	clathrin coat of coated pit	232	43	0	0	1	
WT	heterochromatin	232	5	0	0	1	
KO	heterochromatin	232	43	0	0	1	
WT	serine-type endopeptidase complex	232	5	0	0	1	
KO	serine-type endopeptidase complex	232	43	0	0	1	
WT	nuclear transcription factor complex	232	5	0	0	1	
KO	nuclear transcription factor complex	232	43	0	0	1	
WT	chromocenter	232	5	0	0	1	
KO	chromocenter	232	43	0	0	1	
WT	photoreceptor outer segment membrane	232	5	0	0	1	
KO	photoreceptor outer segment membrane	232	43	0	0	1	
WT	Rad51C-XRCC3 complex	232	5	0	0	1	
KO	Rad51C-XRCC3 complex	232	43	0	0	1	
WT	Holliday junction resolvase complex	232	5	0	0	1	
KO	Holliday junction resolvase complex	232	43	0	0	1	
WT	Ragulator complex	232	5	0	0	1	
KO	Ragulator complex	232	43	0	0	1	
WT	Bcl-2 family protein complex	232	5	0	0	1	
KO	Bcl-2 family protein complex	232	43	0	0	1	
WT	dystrophin-associated glycoprotein complex	232	5	0	0	1	
KO	dystrophin-associated glycoprotein complex	232	43	0	0	1	
WT	dendrite membrane	232	5	0	0	1	
KO	dendrite membrane	232	43	0	0	1	
WT	dense core granule	232	5	0	0	1	
KO	dense core granule	232	43	0	0	1	
WT	microtubule end	232	5	0	0	1	
KO	microtubule end	232	43	0	0	1	
WT	9+0 non-motile cilium	232	5	0	0	1	
KO	9+0 non-motile cilium	232	43	0	0	1	
WT	rough endoplasmic reticulum	232	5	1	0	1	
KO	rough endoplasmic reticulum	232	43	1	0	1	
WT	TRAPP complex	232	5	0	0	1	
KO	TRAPP complex	232	43	0	0	1	
WT	ESCRT III complex	232	5	0	0	1	
KO	ESCRT III complex	232	43	0	0	1	
WT	U2-type catalytic step 2 spliceosome	232	5	2	0	1	
KO	U2-type catalytic step 2 spliceosome	232	43	2	0	1	
WT	DNA replication factor A complex	232	5	0	0	1	
KO	DNA replication factor A complex	232	43	0	0	1	
WT	contractile ring	232	5	0	0	1	
KO	contractile ring	232	43	0	0	1	
WT	spindle matrix	232	5	0	0	1	
KO	spindle matrix	232	43	0	0	1	
WT	cortical cytoskeleton	232	5	7	0	1	
KO	cortical cytoskeleton	232	43	7	0	1	
WT	pseudopodium	232	5	1	0	1	
KO	pseudopodium	232	43	1	0	1	
WT	glutamyl-tRNA(Gln) amidotransferase complex	232	5	0	0	1	
KO	glutamyl-tRNA(Gln) amidotransferase complex	232	43	0	0	1	
WT	COPI-coated vesicle membrane	232	5	0	0	1	
KO	COPI-coated vesicle membrane	232	43	0	0	1	
WT	nucleotide-activated protein kinase complex	232	5	0	0	1	
KO	nucleotide-activated protein kinase complex	232	43	0	0	1	
WT	AP-1 adaptor complex	232	5	0	0	1	
KO	AP-1 adaptor complex	232	43	0	0	1	
WT	extrinsic component of synaptic vesicle membrane	232	5	0	0	1	
KO	extrinsic component of synaptic vesicle membrane	232	43	0	0	1	
WT	pericentriolar material	232	5	0	0	1	
KO	pericentriolar material	232	43	0	0	1	
WT	mRNA cleavage and polyadenylation specificity factor complex	232	5	0	0	1	
KO	mRNA cleavage and polyadenylation specificity factor complex	232	43	0	0	1	
WT	mRNA cleavage factor complex	232	5	0	0	1	
KO	mRNA cleavage factor complex	232	43	0	0	1	
WT	paraspeckles	232	5	1	0	1	
KO	paraspeckles	232	43	1	0	1	
WT	FAR/SIN/STRIPAK complex	232	5	0	0	1	
KO	FAR/SIN/STRIPAK complex	232	43	0	0	1	
WT	myofibril	232	5	3	0	1	
KO	myofibril	232	43	3	1	0.460944527736132	TMOD2
WT	acrosomal membrane	232	5	0	0	1	
KO	acrosomal membrane	232	43	0	0	1	
WT	origin recognition complex	232	5	0	0	1	
KO	origin recognition complex	232	43	0	0	1	
WT	nuclear origin of replication recognition complex	232	5	0	0	1	
KO	nuclear origin of replication recognition complex	232	43	0	0	1	
WT	cohesin complex	232	5	0	0	1	
KO	cohesin complex	232	43	0	0	1	
WT	mediator complex	232	5	2	0	1	
KO	mediator complex	232	43	2	1	0.336990595611285	MED30
WT	platelet alpha granule membrane	232	5	0	0	1	
KO	platelet alpha granule membrane	232	43	0	0	1	
WT	serine protease inhibitor complex	232	5	0	0	1	
KO	serine protease inhibitor complex	232	43	0	0	1	
WT	Lewy body	232	5	0	0	1	
KO	Lewy body	232	43	0	0	1	
WT	Parkin-FBXW7-Cul1 ubiquitin ligase complex	232	5	0	0	1	
KO	Parkin-FBXW7-Cul1 ubiquitin ligase complex	232	43	0	0	1	
WT	SCF ubiquitin ligase complex	232	5	0	0	1	
KO	SCF ubiquitin ligase complex	232	43	0	0	1	
WT	NURF complex	232	5	0	0	1	
KO	NURF complex	232	43	0	0	1	
WT	RSF complex	232	5	0	0	1	
KO	RSF complex	232	43	0	0	1	
WT	nuclear replication fork	232	5	0	0	1	
KO	nuclear replication fork	232	43	0	0	1	
WT	dendrite cytoplasm	232	5	2	0	1	
KO	dendrite cytoplasm	232	43	2	1	0.336990595611285	KIF5C
WT	ciliary rootlet	232	5	1	0	1	
KO	ciliary rootlet	232	43	1	1	0.185344827586207	KIF5C
WT	distal axon	232	5	1	0	1	
KO	distal axon	232	43	1	1	0.185344827586207	KIF5C
WT	tricellular tight junction	232	5	1	0	1	
KO	tricellular tight junction	232	43	1	0	1	
WT	exosome (RNase complex)	232	5	0	0	1	
KO	exosome (RNase complex)	232	43	0	0	1	
WT	mitochondrial crista	232	5	0	0	1	
KO	mitochondrial crista	232	43	0	0	1	
WT	extrinsic component of mitochondrial inner membrane	232	5	0	0	1	
KO	extrinsic component of mitochondrial inner membrane	232	43	0	0	1	
WT	ER ubiquitin ligase complex	232	5	0	0	1	
KO	ER ubiquitin ligase complex	232	43	0	0	1	
WT	DNA repair complex	232	5	0	0	1	
KO	DNA repair complex	232	43	0	0	1	
WT	somatodendritic compartment	232	5	1	0	1	
KO	somatodendritic compartment	232	43	1	0	1	
WT	desmosome	232	5	0	0	1	
KO	desmosome	232	43	0	0	1	
WT	mitochondria-associated endoplasmic reticulum membrane	232	5	0	0	1	
KO	mitochondria-associated endoplasmic reticulum membrane	232	43	0	0	1	
WT	retromer complex	232	5	0	0	1	
KO	retromer complex	232	43	0	0	1	
WT	CRD-mediated mRNA stability complex	232	5	0	0	1	
KO	CRD-mediated mRNA stability complex	232	43	0	0	1	
WT	histone pre-mRNA 3'end processing complex	232	5	0	0	1	
KO	histone pre-mRNA 3'end processing complex	232	43	0	0	1	
WT	GAIT complex	232	5	1	0	1	
KO	GAIT complex	232	43	1	0	1	
WT	eukaryotic translation initiation factor 4F complex	232	5	0	0	1	
KO	eukaryotic translation initiation factor 4F complex	232	43	0	0	1	
WT	cyclin/CDK positive transcription elongation factor complex	232	5	0	0	1	
KO	cyclin/CDK positive transcription elongation factor complex	232	43	0	0	1	
WT	condensed chromosome outer kinetochore	232	5	0	0	1	
KO	condensed chromosome outer kinetochore	232	43	0	0	1	
WT	Toll-like receptor 1-Toll-like receptor 2 protein complex	232	5	0	0	1	
KO	Toll-like receptor 1-Toll-like receptor 2 protein complex	232	43	0	0	1	
WT	myelin sheath	232	5	3	0	1	
KO	myelin sheath	232	43	3	2	0.0890827313615919	TUBA1A,CALM3
WT	M band	232	5	2	0	1	
KO	M band	232	43	2	0	1	
WT	zeta DNA polymerase complex	232	5	0	0	1	
KO	zeta DNA polymerase complex	232	43	0	0	1	
WT	inward rectifying potassium channel	232	5	0	0	1	
KO	inward rectifying potassium channel	232	43	0	0	1	
WT	sarcomere	232	5	7	0	1	
KO	sarcomere	232	43	7	1	0.766824767295512	CALM3
WT	potassium ion-transporting ATPase complex	232	5	0	0	1	
KO	potassium ion-transporting ATPase complex	232	43	0	0	1	
WT	zonula adherens	232	5	3	0	1	
KO	zonula adherens	232	43	3	1	0.460944527736132	SORBS1
WT	outer membrane	232	5	0	0	1	
KO	outer membrane	232	43	0	0	1	
WT	spanning component of plasma membrane	232	5	1	0	1	
KO	spanning component of plasma membrane	232	43	1	0	1	
WT	HCN channel complex	232	5	0	0	1	
KO	HCN channel complex	232	43	0	0	1	
WT	retromer, tubulation complex	232	5	0	0	1	
KO	retromer, tubulation complex	232	43	0	0	1	
WT	dolichol-phosphate-mannose synthase complex	232	5	0	0	1	
KO	dolichol-phosphate-mannose synthase complex	232	43	0	0	1	
WT	neuronal ribonucleoprotein granule	232	5	0	0	1	
KO	neuronal ribonucleoprotein granule	232	43	0	0	1	
WT	box H/ACA snoRNP complex	232	5	0	0	1	
KO	box H/ACA snoRNP complex	232	43	0	0	1	
WT	box H/ACA scaRNP complex	232	5	0	0	1	
KO	box H/ACA scaRNP complex	232	43	0	0	1	
WT	box H/ACA telomerase RNP complex	232	5	0	0	1	
KO	box H/ACA telomerase RNP complex	232	43	0	0	1	
WT	cytoplasmic vesicle lumen	232	5	0	0	1	
KO	cytoplasmic vesicle lumen	232	43	0	0	1	
WT	mucus layer	232	5	0	0	1	
KO	mucus layer	232	43	0	0	1	
WT	amylin receptor complex 1	232	5	0	0	1	
KO	amylin receptor complex 1	232	43	0	0	1	
WT	CGRP receptor complex	232	5	0	0	1	
KO	CGRP receptor complex	232	43	0	0	1	
WT	amylin receptor complex 2	232	5	0	0	1	
KO	amylin receptor complex 2	232	43	0	0	1	
WT	adrenomedullin receptor complex	232	5	0	0	1	
KO	adrenomedullin receptor complex	232	43	0	0	1	
WT	amylin receptor complex 3	232	5	0	0	1	
KO	amylin receptor complex 3	232	43	0	0	1	
WT	Mre11 complex	232	5	0	0	1	
KO	Mre11 complex	232	43	0	0	1	
WT	nuclear inclusion body	232	5	0	0	1	
KO	nuclear inclusion body	232	43	0	0	1	
WT	voltage-gated sodium channel complex	232	5	0	0	1	
KO	voltage-gated sodium channel complex	232	43	0	0	1	
WT	dendritic spine head	232	5	1	0	1	
KO	dendritic spine head	232	43	1	0	1	
WT	L-type voltage-gated calcium channel complex	232	5	0	0	1	
KO	L-type voltage-gated calcium channel complex	232	43	0	0	1	
WT	microspike	232	5	1	0	1	
KO	microspike	232	43	1	0	1	
WT	plasma membrane raft	232	5	2	0	1	
KO	plasma membrane raft	232	43	2	2	0.0336990595611285	ADD2,ADD1
WT	basal cortex	232	5	0	0	1	
KO	basal cortex	232	43	0	0	1	
WT	dendritic growth cone	232	5	1	0	1	
KO	dendritic growth cone	232	43	1	0	1	
WT	cell pole	232	5	0	0	1	
KO	cell pole	232	43	0	0	1	
WT	GATOR1 complex	232	5	0	0	1	
KO	GATOR1 complex	232	43	0	0	1	
WT	phagophore assembly site	232	5	0	0	1	
KO	phagophore assembly site	232	43	0	0	1	
WT	Atg1/ULK1 kinase complex	232	5	0	0	1	
KO	Atg1/ULK1 kinase complex	232	43	0	0	1	
WT	epididymosome	232	5	0	0	1	
KO	epididymosome	232	43	0	0	1	
WT	3M complex	232	5	0	0	1	
KO	3M complex	232	43	0	0	1	
WT	HULC complex	232	5	0	0	1	
KO	HULC complex	232	43	0	0	1	
WT	transcription export complex	232	5	0	0	1	
KO	transcription export complex	232	43	0	0	1	
WT	photoreceptor distal connecting cilium	232	5	0	0	1	
KO	photoreceptor distal connecting cilium	232	43	0	0	1	
WT	X chromosome	232	5	0	0	1	
KO	X chromosome	232	43	0	0	1	
WT	Y chromosome	232	5	0	0	1	
KO	Y chromosome	232	43	0	0	1	
WT	autosome	232	5	0	0	1	
KO	autosome	232	43	0	0	1	
WT	Wnt-Frizzled-LRP5/6 complex	232	5	0	0	1	
KO	Wnt-Frizzled-LRP5/6 complex	232	43	0	0	1	
WT	terminal cisterna	232	5	0	0	1	
KO	terminal cisterna	232	43	0	0	1	
WT	glycine-gated chloride channel complex	232	5	0	0	1	
KO	glycine-gated chloride channel complex	232	43	0	0	1	
WT	COPII vesicle coat	232	5	0	0	1	
KO	COPII vesicle coat	232	43	0	0	1	
WT	synaptonemal complex	232	5	0	0	1	
KO	synaptonemal complex	232	43	0	0	1	
WT	sex chromatin	232	5	0	0	1	
KO	sex chromatin	232	43	0	0	1	
WT	pericentric heterochromatin	232	5	0	0	1	
KO	pericentric heterochromatin	232	43	0	0	1	
WT	Sin3 complex	232	5	0	0	1	
KO	Sin3 complex	232	43	0	0	1	
WT	phagophore assembly site membrane	232	5	0	0	1	
KO	phagophore assembly site membrane	232	43	0	0	1	
WT	extrinsic component of omegasome membrane	232	5	0	0	1	
KO	extrinsic component of omegasome membrane	232	43	0	0	1	
WT	extrinsic component of phagophore assembly site membrane	232	5	0	0	1	
KO	extrinsic component of phagophore assembly site membrane	232	43	0	0	1	
WT	extrinsic component of autophagosome membrane	232	5	0	0	1	
KO	extrinsic component of autophagosome membrane	232	43	0	0	1	
WT	guanyl-nucleotide exchange factor complex	232	5	0	0	1	
KO	guanyl-nucleotide exchange factor complex	232	43	0	0	1	
WT	COPI-coated vesicle	232	5	0	0	1	
KO	COPI-coated vesicle	232	43	0	0	1	
WT	SAM complex	232	5	1	0	1	
KO	SAM complex	232	43	1	0	1	
WT	MIB complex	232	5	1	0	1	
KO	MIB complex	232	43	1	0	1	
WT	retromer, cargo-selective complex	232	5	0	0	1	
KO	retromer, cargo-selective complex	232	43	0	0	1	
WT	tubular endosome	232	5	0	0	1	
KO	tubular endosome	232	43	0	0	1	
WT	stereocilia ankle link	232	5	1	0	1	
KO	stereocilia ankle link	232	43	1	0	1	
WT	stereocilia ankle link complex	232	5	1	0	1	
KO	stereocilia ankle link complex	232	43	1	0	1	
WT	stereocilium bundle	232	5	0	0	1	
KO	stereocilium bundle	232	43	0	0	1	
WT	periciliary membrane compartment	232	5	1	0	1	
KO	periciliary membrane compartment	232	43	1	0	1	
WT	USH2 complex	232	5	1	0	1	
KO	USH2 complex	232	43	1	0	1	
WT	Ire1 complex	232	5	0	0	1	
KO	Ire1 complex	232	43	0	0	1	
WT	AIP1-IRE1 complex	232	5	0	0	1	
KO	AIP1-IRE1 complex	232	43	0	0	1	
WT	IRE1-TRAF2-ASK1 complex	232	5	0	0	1	
KO	IRE1-TRAF2-ASK1 complex	232	43	0	0	1	
WT	IRE1-RACK1-PP2A complex	232	5	0	0	1	
KO	IRE1-RACK1-PP2A complex	232	43	0	0	1	
WT	CRLF-CLCF1 complex	232	5	0	0	1	
KO	CRLF-CLCF1 complex	232	43	0	0	1	
WT	transcriptionally active chromatin	232	5	0	0	1	
KO	transcriptionally active chromatin	232	43	0	0	1	
WT	PCAF complex	232	5	0	0	1	
KO	PCAF complex	232	43	0	0	1	
WT	STAGA complex	232	5	0	0	1	
KO	STAGA complex	232	43	0	0	1	
WT	anchored component of presynaptic membrane	232	5	1	0	1	
KO	anchored component of presynaptic membrane	232	43	1	0	1	
WT	basal part of cell	232	5	1	0	1	
KO	basal part of cell	232	43	1	1	0.185344827586207	KRT14
WT	U2 snRNP	232	5	1	0	1	
KO	U2 snRNP	232	43	1	0	1	
WT	U11/U12 snRNP	232	5	0	0	1	
KO	U11/U12 snRNP	232	43	0	0	1	
WT	RISC-loading complex	232	5	0	0	1	
KO	RISC-loading complex	232	43	0	0	1	
WT	DNA polymerase III complex	232	5	0	0	1	
KO	DNA polymerase III complex	232	43	0	0	1	
WT	integrin complex	232	5	0	0	1	
KO	integrin complex	232	43	0	0	1	
WT	integrin alpha10-beta1 complex	232	5	0	0	1	
KO	integrin alpha10-beta1 complex	232	43	0	0	1	
WT	activin responsive factor complex	232	5	0	0	1	
KO	activin responsive factor complex	232	43	0	0	1	
WT	phagocytic vesicle lumen	232	5	0	0	1	
KO	phagocytic vesicle lumen	232	43	0	0	1	
WT	U5 snRNP	232	5	1	0	1	
KO	U5 snRNP	232	43	1	0	1	
WT	granular component	232	5	0	0	1	
KO	granular component	232	43	0	0	1	
WT	90S preribosome	232	5	0	0	1	
KO	90S preribosome	232	43	0	0	1	
WT	small-subunit processome	232	5	1	0	1	
KO	small-subunit processome	232	43	1	0	1	
WT	gap junction	232	5	3	0	1	
KO	gap junction	232	43	3	1	0.460944527736132	TJP1
WT	intrinsic component of the cytoplasmic side of the plasma membrane	232	5	1	0	1	
KO	intrinsic component of the cytoplasmic side of the plasma membrane	232	43	1	1	0.185344827586207	PALM
WT	vacuolar proton-transporting V-type ATPase complex	232	5	0	0	1	
KO	vacuolar proton-transporting V-type ATPase complex	232	43	0	0	1	
WT	ribonuclease H2 complex	232	5	0	0	1	
KO	ribonuclease H2 complex	232	43	0	0	1	
WT	protein phosphatase type 1 complex	232	5	3	0	1	
KO	protein phosphatase type 1 complex	232	43	3	0	1	
WT	ribonuclease MRP complex	232	5	0	0	1	
KO	ribonuclease MRP complex	232	43	0	0	1	
WT	multimeric ribonuclease P complex	232	5	0	0	1	
KO	multimeric ribonuclease P complex	232	43	0	0	1	
WT	nucleolar ribonuclease P complex	232	5	0	0	1	
KO	nucleolar ribonuclease P complex	232	43	0	0	1	
WT	muscle tendon junction	232	5	0	0	1	
KO	muscle tendon junction	232	43	0	0	1	
WT	cuticular plate	232	5	1	0	1	
KO	cuticular plate	232	43	1	0	1	
WT	host cell mitochondrial intermembrane space	232	5	0	0	1	
KO	host cell mitochondrial intermembrane space	232	43	0	0	1	
WT	G protein-coupled receptor heterodimeric complex	232	5	0	0	1	
KO	G protein-coupled receptor heterodimeric complex	232	43	0	0	1	
WT	GABA receptor complex	232	5	0	0	1	
KO	GABA receptor complex	232	43	0	0	1	
WT	trans-Golgi network transport vesicle membrane	232	5	0	0	1	
KO	trans-Golgi network transport vesicle membrane	232	43	0	0	1	
WT	cyclin K-CDK12 complex	232	5	0	0	1	
KO	cyclin K-CDK12 complex	232	43	0	0	1	
WT	cyclin K-CDK13 complex	232	5	0	0	1	
KO	cyclin K-CDK13 complex	232	43	0	0	1	
WT	extrinsic component of presynaptic active zone membrane	232	5	0	0	1	
KO	extrinsic component of presynaptic active zone membrane	232	43	0	0	1	
WT	extrinsic component of postsynaptic density membrane	232	5	0	0	1	
KO	extrinsic component of postsynaptic density membrane	232	43	0	0	1	
WT	membrane microdomain	232	5	0	0	1	
KO	membrane microdomain	232	43	0	0	1	
WT	Rad17 RFC-like complex	232	5	0	0	1	
KO	Rad17 RFC-like complex	232	43	0	0	1	
WT	mitochondrial proton-transporting ATP synthase complex	232	5	1	0	1	
KO	mitochondrial proton-transporting ATP synthase complex	232	43	1	1	0.185344827586207	ATP5PO
WT	sperm plasma membrane	232	5	0	0	1	
KO	sperm plasma membrane	232	43	0	0	1	
WT	sperm fibrous sheath	232	5	0	0	1	
KO	sperm fibrous sheath	232	43	0	0	1	
WT	sperm end piece	232	5	0	0	1	
KO	sperm end piece	232	43	0	0	1	
WT	flotillin complex	232	5	3	0	1	
KO	flotillin complex	232	43	3	0	1	
WT	cell-cell contact zone	232	5	0	0	1	
KO	cell-cell contact zone	232	43	0	0	1	
WT	dopaminergic synapse	232	5	0	0	1	
KO	dopaminergic synapse	232	43	0	0	1	
WT	Schmidt-Lanterman incisure	232	5	0	0	1	
KO	Schmidt-Lanterman incisure	232	43	0	0	1	
WT	climbing fiber	232	5	0	0	1	
KO	climbing fiber	232	43	0	0	1	
WT	endopeptidase Clp complex	232	5	0	0	1	
KO	endopeptidase Clp complex	232	43	0	0	1	
WT	mitochondrial endopeptidase Clp complex	232	5	0	0	1	
KO	mitochondrial endopeptidase Clp complex	232	43	0	0	1	
WT	transport vesicle membrane	232	5	1	0	1	
KO	transport vesicle membrane	232	43	1	1	0.185344827586207	MAP6
WT	MMXD complex	232	5	0	0	1	
KO	MMXD complex	232	43	0	0	1	
WT	CIA complex	232	5	0	0	1	
KO	CIA complex	232	43	0	0	1	
WT	signal recognition particle, endoplasmic reticulum targeting	232	5	2	0	1	
KO	signal recognition particle, endoplasmic reticulum targeting	232	43	2	0	1	
WT	signal recognition particle	232	5	0	0	1	
KO	signal recognition particle	232	43	0	0	1	
WT	multivesicular body	232	5	0	0	1	
KO	multivesicular body	232	43	0	0	1	
WT	RNA polymerase II, holoenzyme	232	5	0	0	1	
KO	RNA polymerase II, holoenzyme	232	43	0	0	1	
WT	interstitial matrix	232	5	0	0	1	
KO	interstitial matrix	232	43	0	0	1	
WT	NuRD complex	232	5	0	0	1	
KO	NuRD complex	232	43	0	0	1	
WT	glycosylphosphatidylinositol-N-acetylglucosaminyltransferase (GPI-GnT) complex	232	5	0	0	1	
KO	glycosylphosphatidylinositol-N-acetylglucosaminyltransferase (GPI-GnT) complex	232	43	0	0	1	
WT	microtubule bundle	232	5	0	0	1	
KO	microtubule bundle	232	43	0	0	1	
WT	mitochondrial outer membrane translocase complex	232	5	0	0	1	
KO	mitochondrial outer membrane translocase complex	232	43	0	0	1	
WT	smooth endoplasmic reticulum	232	5	3	0	1	
KO	smooth endoplasmic reticulum	232	43	3	1	0.460944527736132	HSPA5
WT	axolemma	232	5	2	0	1	
KO	axolemma	232	43	2	0	1	
WT	paranodal junction	232	5	0	0	1	
KO	paranodal junction	232	43	0	0	1	
WT	paranode region of axon	232	5	1	0	1	
KO	paranode region of axon	232	43	1	0	1	
WT	Schwann cell microvillus	232	5	0	0	1	
KO	Schwann cell microvillus	232	43	0	0	1	
WT	endoplasmic reticulum-endosome membrane contact site	232	5	0	0	1	
KO	endoplasmic reticulum-endosome membrane contact site	232	43	0	0	1	
WT	VCP-NPL4-UFD1 AAA ATPase complex	232	5	0	0	1	
KO	VCP-NPL4-UFD1 AAA ATPase complex	232	43	0	0	1	
WT	integral component of nuclear inner membrane	232	5	0	0	1	
KO	integral component of nuclear inner membrane	232	43	0	0	1	
WT	meiotic nuclear membrane microtubule tethering complex	232	5	0	0	1	
KO	meiotic nuclear membrane microtubule tethering complex	232	43	0	0	1	
WT	cytoplasmic cyclin-dependent protein kinase holoenzyme complex	232	5	0	0	1	
KO	cytoplasmic cyclin-dependent protein kinase holoenzyme complex	232	43	0	0	1	
WT	HAUS complex	232	5	0	0	1	
KO	HAUS complex	232	43	0	0	1	
WT	AP-2 adaptor complex	232	5	0	0	1	
KO	AP-2 adaptor complex	232	43	0	0	1	
WT	clathrin-coated endocytic vesicle membrane	232	5	0	0	1	
KO	clathrin-coated endocytic vesicle membrane	232	43	0	0	1	
WT	vesicle coat	232	5	0	0	1	
KO	vesicle coat	232	43	0	0	1	
WT	COPII-coated ER to Golgi transport vesicle	232	5	0	0	1	
KO	COPII-coated ER to Golgi transport vesicle	232	43	0	0	1	
WT	postsynaptic endosome	232	5	0	0	1	
KO	postsynaptic endosome	232	43	0	0	1	
WT	integral component of spine apparatus membrane	232	5	0	0	1	
KO	integral component of spine apparatus membrane	232	43	0	0	1	
WT	type III intermediate filament	232	5	1	0	1	
KO	type III intermediate filament	232	43	1	1	0.185344827586207	PRPH
WT	astrocyte projection	232	5	0	0	1	
KO	astrocyte projection	232	43	0	0	1	
WT	condensed nuclear chromosome kinetochore	232	5	0	0	1	
